feature,missing_ratio,mean,std,skew,kurtosis,outlier_ratio_iqr
X149,0.2466006959010932,0.007972871029701857,0.02655863525419688,1.4293210611338276,9.282360019093334,0.028341929274732867
X15,0.233447671692619,-0.009787425530783291,0.3324064683197573,-0.05299789452147796,3.4168332068799265,0.04140858278014954
X150,0.2466006959010932,-0.07768491084186534,0.06804212176753877,-0.054614685431657144,-0.149911866876983,0.003405473434839474
X151,0.2466006959010932,-0.07843421530342366,0.08926271437099899,-0.010569284593085194,-0.11837373774760618,0.004145793746761098
X152,0.2466006959010932,0.28245494975213886,0.0572496242199074,3.7463409554286695,34.46061407885006,0.03267280309947437
X153,0.2466006959010932,0.28242424026048085,0.04096234809642783,3.3088756291778947,27.157044713003447,0.02902055622732769
X154,0.2466006959010932,-0.04307212842867235,0.12261257810814233,0.010016010275782077,0.744099812975997,0.01135157811613158
X155,0.2466006959010932,-0.043383465906948485,0.04955909631507257,-0.32424946185831904,0.7478776465693522,0.012351010537225773
X156,0.2466006959010932,-0.09774002734813839,0.0647716625064103,0.2883296469852743,1.049962414814912,0.006218690620141648
X157,0.2466006959010932,-0.09738899225568265,0.10104905001772721,0.4119390914129922,2.0577729406118017,0.00836561952471436
X158,0.2466006959010932,-0.09801540520715982,0.05951493086096175,0.2560423688356938,0.7883168126873454,0.005354983589566419
X159,0.2466006959010932,0.0003147155400591891,0.001038013775624448,0.7750726256767784,2.7984426253503196,0.026503467166794165
X16,0.233447671692619,-0.01999876668623453,0.9910964350390095,-0.15651082864874793,26.561516996009498,0.07806677689213533
X160,0.2466006959010932,-0.8646615603053546,0.1895066449644555,3.7128961465751393,14.347518334366725,0.030057004664017964
X161,0.2466006959010932,3.929033429958338e-07,6.450419627547397e-05,7.622861894264689,535.219944455944,0.11122078819435875
X162,0.2466006959010932,-1.5931881703541188e-07,0.0009474418732503329,0.2823567499569467,1656.2954888788797,0.11795770303284554
X163,0.2466006959010932,0.00026758934013053635,0.0011322701133902806,0.640121947089312,3.0403037994917774,0.037312143720849886
X164,0.2466006959010932,342309457.5184704,175613432.69063213,0.7144171799799209,-0.5213344379414622,0.00017274140611504577
X165,0.2466006959010932,6.28083527277094e-06,3.664594582105308e-05,-0.006773310182650261,24.59430906352093,0.04693630777583101
X166,0.2466006959010932,0.03326551303587266,0.19099132887052858,-0.151162818264759,0.9504741814091129,0.013325765614589246
X167,0.2466006959010932,310222186499.7492,55383630322408.4,197.56479637697583,40997.39734008462,0.18525281938652124
X168,0.2466006959010932,-0.0022224405247923597,0.004786828845143231,-3.8440042579655427,22.29900600372211,0.09594551242504257
X169,0.2466006959010932,-0.0022222190992589245,0.001326613821503596,-1.216953812890866,2.52280345512467,0.025331293339584927
X17,0.233447671692619,-0.0193883712783825,0.147151594475936,-0.4016815812108013,1.8117524055154788,0.0268366113071589
X170,0.2467857759790736,2432221234731.3784,230487206729728.3,113.27310295557069,13910.739343155472,0.010093033585864818
X171,0.2466006959010932,-410364079.1570031,731181794052.5406,-3.4758868736797583,311.5869227773468,0.18156355649877848
X172,0.2466006959010932,278642091.339139,181473221988.54166,-2.316827782958397,32.4717756584954,0.0927868124275103
X173,0.2466006959010932,0.0006262832191034966,0.028115776896743546,-0.7908104232076234,14.383132437966754,0.01998864842188387
X174,0.2466006959010932,0.0006722618628504407,0.023221377859460338,-0.6163993341442698,10.018265500016453,0.022283641388840904
X175,0.2466006959010932,-19698611.487513248,3441981329.041884,-174.73981741344986,30534.83824032236,0.06835624213409669
X176,0.2466006959010932,0.0061868755190501445,0.08421900045078728,-0.3821668147567146,8.23990295305346,0.013967376551587987
X177,0.2466006959010932,0.0007093198916911536,0.0188735967943231,0.1818612316958382,2.92539036641399,0.01680527108062088
X178,0.2466006959010932,-175368906530.85043,26605814798162.504,3.8816269061987363,474.6348452948639,0.0220985613108605
X179,0.2466006959010932,0.002503692830613888,0.00276149878189756,2.4066258039101425,9.625143852922111,0.039335685906768995
X18,0.233447671692619,0.011852468431694078,0.005600148842425214,0.9517196839464381,2.475375029032143,0.03319102731781951
X180,0.2466006959010932,1.0984057382948744e-06,5.411062632617698e-05,-11.137747705642402,1179.5218332998652,0.12042543740591763
